experiment_id,allow_cross_region,drone_count,total_flight_distance,total_completion_time,completed_tasks,average_completion_time,efficiency_ratio
1,True,4,3202.3925868040906,0,0,0,0
2,True,5,2968.287662405956,0,0,0,0
3,True,6,2816.098409787916,0,0,0,0
4,True,7,2696.741631311912,0,0,0,0
5,True,8,2426.740014618856,0,0,0,0
6,True,9,2210.111003230835,0,0,0,0
7,True,10,1855.2738843568216,0,0,0,0
8,False,4,1817.3824856653182,0,0,0,0
9,False,5,1318.2337025010588,0,0,0,0
10,False,6,1784.3423543246388,0,0,0,0
11,False,7,1222.0534222515696,0,0,0,0
12,False,8,1259.5015022944874,0,0,0,0
13,False,9,1669.3962220632852,0,0,0,0
14,False,10,1116.68641316741,0,0,0,0
